,nickname,text,score,like,dislike,time,watch_movie
2872,한스(ict2****),아쉬움이 남지만 빠른스피드의 좀비들은 긴장감을 배가시킨다. 빵형님은 역시멋지고.. 속편이 보고싶은 영화.. 후반부 스케일이 급속히 쪼그라드는 것은 재촬영 때문이었다하니 속편에서는 좀더 완벽한 시나리오로 나오길.. 빵...,8,5,3,2013-07-17 09:13:00,0
2873,개천척소개간지(whrk****),씹노잽,1,5,3,2013-07-12 08:40:00,0
2874,Terry(sacu****),브레드 피트 이름하나만 보고 과감히 선택했는데.. 이건 아니라고 봄,5,5,3,2013-07-06 16:40:00,0
2875,totheBB(bii0****),샹진짜이런건줄몰랐음;;;:징그럽고무서워ㅠㅜㅜ다보고나오는데 후들후들;;,8,5,3,2013-07-02 14:26:00,0
2876,방나11(bang****),설레발을 너무 떤 영화 딱 킬링타임수준,3,5,3,2013-07-02 13:23:00,0
2877,이에나(galm****),돈과 시간이 아까움,1,5,3,2013-06-30 22:56:00,0
2878,teye****,티져영상 누가 만드셨는지 대박임우주전쟁 다음으로 낚인 영화... ㅠ.ㅠ,1,5,3,2013-06-30 13:34:00,0
2879,chun****,솔찍히 이거 평점 1-3점 주는 애들.. 아니 알바들인가?  잔인하거나 놀라거나 소름끼친다거나 해서 비추한다는데... 무슨 액션좀비스릴러 영화를 로맨스물로 생각하고 극장온거야? ㅋㅋㅋ 갠적으로 좀비물 매니아로서 이정...,9,5,3,2013-06-30 12:17:00,0
2880,bgh1****,피트 성님 한국까지 오셔서 홍보해주었는데  으리로 봐야되지 않겠노? 으리으리한 스케일에 허니잼이었음 김치년이 질질싸는  개빨갱이 영화 은밀하게 위대하게 보다 OO넘사벽  간만에 좀비영화중 ㅅㅌㅊ 였다,10,5,3,2013-06-29 04:43:00,0
2881,건강전도사(vusw****),처음에 정말 좋아...근데 중후반부 때문에 1점...,1,5,3,2013-06-28 20:16:00,0
2882,스티브(tren****),화려한  비급 컬쳐 무비를 보는 듯한 착각. 왜 만든지 알수 없는 영화,1,5,3,2013-06-26 15:21:00,0
2883,부루스뤼(byun****),재미만 있더라,10,5,3,2013-06-25 18:41:00,0
2884,화냐(sky1****),"거의 모든  F.C.B급 좀비영화는 다 봤다 물론 다른 영화들도 많이 보는데, 이건 좀비영화의 끝이라고 보겠다. 아무리 잘 만들어봐야 좀비영화가 새벽의 저주만큼 하겠나~하고 봤는데 이건 그 이상이다 좀비영화도 이렇게...",10,5,3,2013-06-25 17:21:00,0
2885,Minsoo(ksgi****),초반은 굉장히 흥미롭게 흘러가다가 후반부갈수록 늘어짐.,7,5,3,2013-06-24 19:01:00,0
