,nickname,text,score,like,dislike,time,watch_movie
142,GLOW(hyou****),나쁘진 않다. 왜 명작인지는 잘 모르겠다.,7,3,1,2016-10-06 16:46:00,0
143,Only Now(k050****),주변에 가장 흔한 인간을 다시 새롭게 보게끔 하는 철학적이고 의미심장한 내용을 담고있는 남다른 A급 좀비 영화.,10,3,1,2015-01-23 02:51:00,0
144,잘돼요(yaho****),이걸 능가하는 좀비영화가 또 다시 나올수있을까,10,3,1,2014-08-16 15:11:00,0
145,넬(ohmk****),볼만한대 평좀낫네 실제로도 욕구에 미쳐서 저럴까,10,3,1,2013-07-04 03:19:00,0
146,비와창문(sant****),"개인적으로 역대 좀비물 중 최고다. 단순 오락성을 넘어서, 새벽의 저주나 후속작인 28주 후에 비하면 좀비의 출현 빈도나 스케일은 적더라도 오히려 작품속에 더 빨려들어가 긴장감은 최고임...더 이상의 후속작은 없다는...",9,3,1,2013-04-10 00:01:00,0
147,xodn****,그냥 그저 그런 평범한 좀비물이 아니다,9,5,3,2012-06-17 03:51:00,0
148,Bunch(bunc****),초반엔 그럴 듯 하다가 후반부로 갈수록 C급 영화. 군인들을 만나고나서부터 갑자기 개뜬금없는 병맛영화가 되어버림.,1,1,0,2020-10-27 02:20:00,0
149,MOOK(mail****),이런 최고의 영화가 평점이 7 점대라니 이해가 안되네요.정말 심장 쫄려 봤었던 최고의 좀비물,10,1,0,2020-06-26 22:05:00,0
150,컴히얼(haya****),최초가 최고인 작품들이 종종있는데 그정도까지는 절대 아니고 이쪽 장르가 워낙 명작이랄만한 작품이 없다보니 마치 명작처럼 보이는 경우.,7,1,0,2020-05-29 00:16:00,0
151,맑고푸른(1004****),좀비는 죽은자도 아니고 산자도 아닌걸로 알지만 여기 좀비는 감염된 '사람'. 좀비보다 나쁜 놈들.  볼만합니다 ^^,8,1,0,2020-05-06 18:38:00,0
152,한(hys6****),"좀비영화 특유의 쫄깃함이 없었습니다. 긴장감, 스릴러 기대하고 평점도 꽤나 높길래 기대하고 봤는데 전 매우 별로였어요. 영화 다 보고나서 이 영화 분명 평점 높았는데 설마 클레멘타인처럼 낚인건가 싶을 정도로 저는 흠...",2,1,0,2020-05-06 10:26:00,0
153,아침소고기(haha****),좀비 장르를 좋아한다면 재밌게 볼수있다 클래식한 좀비 영화 느낌,6,1,0,2020-03-30 01:02:00,0
154,Raphael(raph****),이 세계 최고의 영화가 왜 평점이 낮은거지 무조건 9점 이상이어야 하는데...  진자 이해가 안대네,10,1,0,2020-03-09 21:38:00,0
155,엘비나(semi****),,10,1,0,2020-02-26 11:20:00,0
156,조국(osh8****),"28주후가 더 잼나지만 바이러스 OO점 알려준 영화. 빨리 28월,28년 후도 나왔으면..",9,1,0,2020-02-25 00:26:00,0
157,anal****,,10,1,0,2020-02-23 19:25:00,0
158,헤헷(hees****),,10,1,0,2020-01-11 11:57:00,0
159,jhyu****,"좀비물 영화를 좋아해서 찾아보다가 무려 17년 전에 개봉한 영화를 보게 되었다. 17년 전 영화라 사실 기대감 하나 없이 봤는데 긴장감이며 스토리며, 지금 봐도 손색 없을 정도로 좋았다.",7,1,0,2019-11-19 12:33:00,0
160,칼국수(sang****),이런 명작이 왜 7점대냐. 이건 좀비영화의 혁신이다.,10,1,0,2019-06-10 02:34:00,0
161,마시마로(znfn****),28일후와 새벽의 저주그외 좀비영화는 없다.적어도 나에겐,10,1,0,2019-04-16 01:35:00,0
162,잼잼(mail****),군인들 때문에 기분나쁜영화,7,1,0,2019-03-31 00:08:00,0
163,slip****,가장 재밌게 본 좀비물입니다,10,1,0,2019-01-19 16:54:00,0
164,광고쪽지보내지마(call****),재앙 속 다양한 인간군상을 보여주는 영화.,10,1,0,2019-01-08 20:59:00,0
